iter	Passed	Remaining
0	146	146466
1	201	100603
2	259	86268
3	325	81117
4	400	79711
5	461	76465
6	522	74134
7	576	71445
8	645	71026
9	714	70749
10	816	73403
11	891	73371
12	959	72861
13	1028	72430
14	1100	72244
15	1210	74419
16	1378	79701
17	1569	85601
18	1690	87277
19	1891	92698
20	2076	96782
21	2208	98198
22	2419	102786
23	2489	101228
24	2711	105741
25	2851	106818
26	3250	117139
27	3579	124261
28	3790	126902
29	3977	128616
30	4082	127600
31	4179	126440
32	4286	125609
33	4375	124312
34	4471	123296
35	4579	122616
36	4675	121684
37	4792	121333
38	4893	120571
39	5009	120219
40	5110	119539
41	5212	118890
42	5311	118217
43	5409	117536
44	5510	116951
45	5612	116396
46	5719	115979
47	5815	115350
48	5924	114983
49	6110	116102
50	6213	115626
51	6341	115603
52	6441	115094
53	6552	114782
54	6636	114026
55	6716	113219
56	6786	112278
57	6867	111539
58	6945	110780
59	7026	110086
60	7099	109285
61	7174	108549
62	7248	107807
63	7312	106939
64	7378	106137
65	7443	105330
66	7542	105032
67	7748	106201
68	7973	107589
69	8168	108521
70	8342	109157
71	8499	109551
72	8681	110242
73	8758	109604
74	8817	108751
75	8888	108065
76	8956	107363
77	9033	106782
78	9105	106156
79	9188	105664
80	9294	105453
81	9405	105296
82	9482	104766
83	9674	105498
84	9853	106065
85	10032	106620
86	10198	107020
87	10368	107457
88	10522	107709
89	10633	107517
90	10782	107708
91	10975	108321
92	11166	108906
93	11347	109368
94	11480	109369
95	11549	108753
96	11635	108314
97	11701	107700
98	11791	107314
99	11858	106728
100	11938	106264
101	12006	105708
102	12083	105231
103	12151	104692
104	12229	104243
105	12346	104133
106	12421	103669
107	12487	103139
108	12567	102731
109	12682	102609
110	12791	102445
111	12900	102281
112	12996	102018
113	13108	101880
114	13217	101713
115	13285	101247
116	13362	100847
117	13442	100474
118	13627	100888
119	13732	100702
120	13828	100453
121	13951	100403
122	14129	100747
123	14212	100402
124	14270	99891
125	14337	99451
126	14414	99082
127	14478	98637
128	14546	98215
129	14625	97879
130	14742	97797
131	14878	97836
132	15001	97789
133	15098	97579
134	15218	97509
135	15337	97441
136	15530	97832
137	15643	97716
138	15759	97621
139	15856	97407
140	15988	97405
141	16108	97333
142	16203	97110
143	16301	96902
144	16398	96696
145	16496	96493
146	16584	96234
147	16681	96033
148	16795	95925
149	16894	95737
150	16992	95538
151	17104	95426
152	17200	95219
153	17305	95069
154	17422	94978
155	17533	94859
156	17642	94731
157	17746	94574
158	17892	94638
159	17993	94465
160	18108	94367
161	18217	94236
162	18322	94086
163	18422	93910
164	18520	93727
165	18634	93620
166	18727	93410
167	18825	93233
168	18935	93109
169	19139	93444
170	19405	94077
171	19531	94022
172	19647	93923
173	19747	93746
174	19842	93544
175	19905	93195
176	19967	92842
177	20026	92483
178	20106	92218
179	20239	92200
180	20388	92256
181	20507	92173
182	20640	92148
183	20760	92066
184	20885	92007
185	20997	91892
186	21069	91600
187	21129	91259
188	21182	90894
189	21240	90553
190	21301	90225
191	21361	89895
192	21417	89553
193	21473	89215
194	21545	88943
195	21631	88733
196	21715	88515
197	21797	88289
198	21859	87989
199	21917	87669
200	21963	87307
201	22023	87002
202	22091	86734
203	22154	86444
204	22214	86147
205	22278	85868
206	22412	85862
207	22505	85693
208	22615	85591
209	22708	85427
210	22800	85257
211	22887	85073
212	22979	84905
213	23086	84795
214	23192	84678
215	23287	84526
216	23382	84369
217	23474	84206
218	23573	84066
219	23684	83973
220	23764	83768
221	23875	83671
222	23966	83508
223	24070	83386
224	24175	83271
225	24306	83244
226	24401	83095
227	24501	82961
228	24593	82801
229	24700	82693
230	24792	82534
231	24883	82372
232	25010	82330
233	25108	82193
234	25217	82090
235	25318	81962
236	25400	81773
237	25491	81616
238	25587	81472
239	25683	81329
240	25785	81206
241	25857	80992
242	25956	80860
243	26054	80724
244	26131	80526
245	26211	80340
246	26285	80134
247	26353	79909
248	26415	79669
249	26481	79445
250	26542	79205
251	26605	78972
252	26665	78732
253	26728	78502
254	26796	78286
255	26858	78056
256	26922	77834
257	26982	77601
258	27049	77388
259	27110	77161
260	27170	76930
261	27231	76705
262	27297	76493
263	27367	76298
264	27430	76079
265	27492	75863
266	27559	75659
267	27625	75453
268	27692	75252
269	27752	75034
270	27815	74823
271	27888	74641
272	27951	74434
273	28019	74241
274	28071	74007
275	28132	73797
276	28195	73592
277	28258	73390
278	28319	73184
279	28392	73008
280	28453	72804
281	28514	72600
282	28582	72415
283	28643	72214
284	28707	72020
285	28770	71825
286	28832	71629
287	28897	71441
288	28963	71255
289	29038	71093
290	29103	70907
291	29162	70709
292	29227	70525
293	29290	70337
294	29353	70148
295	29416	69963
296	29479	69778
297	29541	69591
298	29605	69409
299	29670	69230
300	29733	69048
301	29786	68843
302	29847	68659
303	29914	68488
304	29984	68324
305	30049	68151
306	30110	67969
307	30174	67795
308	30231	67605
309	30293	67427
310	30355	67249
311	30420	67081
312	30491	66925
313	30546	66736
314	30610	66566
315	30672	66392
316	30732	66215
317	30792	66039
318	30856	65871
319	30910	65685
320	30972	65514
321	31045	65369
322	31112	65210
323	31173	65041
324	31225	64852
325	31287	64686
326	31351	64524
327	31412	64357
328	31476	64196
329	31557	64071
330	31618	63906
331	31672	63726
332	31734	63563
333	31795	63401
334	31859	63243
335	31924	63088
336	31985	62926
337	32051	62774
338	32120	62629
339	32182	62472
340	32247	62319
341	32312	62168
342	32375	62012
343	32437	61858
344	32501	61706
345	32569	61561
346	32641	61425
347	32703	61271
348	32766	61120
349	32832	60975
350	32896	60826
351	32955	60668
352	33020	60522
353	33084	60375
354	33154	60239
355	33218	60091
356	33284	59949
357	33353	59813
358	33414	59662
359	33472	59506
360	33542	59373
361	33605	59227
362	33675	59094
363	33738	58949
364	33802	58807
365	33867	58666
366	33934	58530
367	33986	58367
368	34044	58217
369	34103	58067
370	34157	57912
371	34228	57784
372	34303	57662
373	34366	57522
374	34434	57391
375	34503	57260
376	34578	57140
377	34649	57015
378	34720	56891
379	34787	56759
380	34849	56619
381	34911	56479
382	34971	56338
383	35036	56204
384	35099	56068
385	35289	56134
386	35384	56048
387	35476	55957
388	35581	55888
389	35676	55801
390	35780	55729
391	35882	55654
392	35990	55588
393	36094	55516
394	36189	55430
395	36292	55354
396	36392	55276
397	36492	55197
398	36598	55127
399	36696	55044
400	36797	54966
401	36905	54899
402	37008	54824
403	37104	54737
404	37203	54657
405	37301	54573
406	37410	54507
407	37511	54429
408	37616	54355
409	37713	54270
410	37816	54193
411	37928	54131
412	38036	54061
413	38132	53974
414	38228	53888
415	38332	53813
416	38448	53753
417	38552	53678
418	38652	53596
419	38750	53511
420	38843	53421
421	38947	53345
422	39045	53260
423	39106	53126
424	39167	52991
425	39235	52865
426	39293	52728
427	39351	52591
428	39409	52454
429	39476	52329
430	39539	52200
431	39600	52067
432	39652	51923
433	39709	51786
434	39765	51649
435	39822	51513
436	39880	51378
437	39940	51247
438	40017	51138
439	40078	51009
440	40137	50877
441	40197	50747
442	40260	50620
443	40315	50485
444	40373	50353
445	40432	50222
446	40484	50084
447	40556	49971
448	40617	49845
449	40674	49713
450	40737	49590
451	40799	49465
452	40862	49342
453	40920	49213
454	40979	49085
455	41053	48975
456	41131	48871
457	41207	48765
458	41267	48639
459	41325	48512
460	41387	48389
461	41448	48267
462	41512	48147
463	41581	48033
464	41648	47918
465	41706	47791
466	41763	47666
467	41822	47541
468	41880	47416
469	41940	47294
470	42084	47266
471	42190	47196
472	42287	47115
473	42378	47027
474	42467	46938
475	42570	46862
476	42655	46769
477	42748	46683
478	42840	46596
479	42937	46515
480	43033	46433
481	43127	46348
482	43238	46281
483	43331	46196
484	43422	46108
485	43518	46025
486	43612	45940
487	43716	45866
488	43820	45792
489	43910	45703
490	44009	45623
491	44100	45534
492	44191	45446
493	44300	45377
494	44392	45289
495	44547	45266
496	44640	45179
497	44742	45101
498	44851	45030
499	44941	44941
500	45035	44856
501	45124	44765
502	45215	44676
503	45321	44602
504	45417	44517
505	45512	44432
506	45605	44345
507	45694	44255
508	45785	44166
509	45868	44069
510	45934	43956
511	46007	43850
512	46069	43734
513	46134	43621
514	46194	43503
515	46256	43388
516	46322	43276
517	46394	43169
518	46460	43058
519	46534	42954
520	46599	42843
521	46659	42726
522	46721	42612
523	46785	42499
524	46850	42388
525	46920	42282
526	46989	42174
527	47069	42077
528	47139	41971
529	47206	41861
530	47272	41752
531	47338	41643
532	47404	41534
533	47474	41429
534	47544	41323
535	47606	41211
536	47669	41100
537	47732	40989
538	47793	40877
539	47855	40766
540	47917	40654
541	47989	40551
542	48057	40446
543	48130	40344
544	48202	40242
545	48269	40136
546	48341	40034
547	48411	39930
548	48485	39830
549	48559	39730
550	48626	39624
551	48693	39519
552	48762	39415
553	48821	39303
554	48881	39193
555	48943	39083
556	49018	38986
557	49079	38876
558	49144	38770
559	49207	38662
560	49271	38556
561	49333	38448
562	49401	38345
563	49463	38237
564	49532	38135
565	49594	38028
566	49655	37920
567	49716	37812
568	49777	37705
569	49839	37598
570	49905	37494
571	49971	37391
572	50041	37290
573	50104	37185
574	50167	37080
575	50231	36976
576	50300	36875
577	50364	36771
578	50425	36665
579	50489	36561
580	50554	36458
581	50621	36357
582	50681	36251
583	50742	36145
584	50804	36040
585	50871	35939
586	50937	35838
587	51008	35740
588	51072	35637
589	51146	35542
590	51214	35442
591	51281	35342
592	51345	35240
593	51413	35141
594	51486	35045
595	51553	34945
596	51630	34852
597	51700	34755
598	51764	34653
599	51829	34553
600	51892	34450
601	51955	34349
602	52028	34254
603	52096	34155
604	52165	34058
605	52240	33964
606	52304	33864
607	52371	33765
608	52433	33664
609	52498	33564
610	52563	33465
611	52625	33363
612	52694	33266
613	52758	33167
614	52823	33068
615	52885	32967
616	52949	32868
617	53025	32776
618	53088	32676
619	53145	32573
620	53215	32477
621	53283	32381
622	53347	32282
623	53408	32182
624	53473	32084
625	53749	32112
626	53804	32007
627	53864	31907
628	53927	31807
629	53994	31710
630	54054	31610
631	54114	31509
632	54176	31410
633	54241	31313
634	54305	31215
635	54365	31114
636	54468	31039
637	54535	30943
638	54597	30844
639	54657	30744
640	54718	30645
641	54783	30549
642	54981	30526
643	55081	30448
644	55180	30370
645	55284	30295
646	55389	30220
647	55489	30142
648	55588	30063
649	55682	29983
650	55780	29903
651	55920	29847
652	56028	29773
653	56129	29695
654	56228	29616
655	56325	29536
656	56439	29465
657	56554	29394
658	56669	29323
659	56788	29254
660	56894	29179
661	57012	29108
662	57097	29022
663	57199	28944
664	57298	28864
665	57401	28787
666	57517	28715
667	57619	28637
668	57733	28564
669	57857	28497
670	57938	28407
671	58051	28334
672	58150	28254
673	58254	28176
674	58349	28094
675	58443	28011
676	58558	27938
677	58661	27860
678	58758	27778
679	58824	27682
680	58888	27584
681	58974	27498
682	59065	27413
683	59146	27325
684	59240	27241
685	59370	27175
686	59478	27098
687	59546	27003
688	59624	26913
689	59689	26816
690	59748	26718
691	59806	26618
692	59866	26520
693	59925	26422
694	59990	26326
695	60047	26227
696	60115	26133
697	60177	26036
698	60238	25939
699	60297	25841
700	60357	25744
701	60414	25646
702	60474	25548
703	60531	25450
704	60593	25354
705	60672	25266
706	60732	25169
707	60790	25071
708	60850	24975
709	60908	24878
710	60963	24779
711	61023	24683
712	61083	24587
713	61149	24493
714	61211	24399
715	61271	24303
716	61329	24206
717	61389	24111
718	61449	24015
719	61509	23920
720	61566	23823
721	61625	23728
722	61777	23668
723	61869	23585
724	61962	23502
725	62053	23419
726	62147	23337
727	62254	23259
728	62344	23175
729	62435	23092
730	62533	23011
731	62622	22927
732	62717	22845
733	62823	22767
734	62915	22683
735	63012	22602
736	63103	22518
737	63193	22434
738	63297	22355
739	63390	22272
740	63491	22191
741	63584	22108
742	63673	22024
743	63787	21948
744	63886	21867
745	63987	21786
746	64078	21702
747	64179	21622
748	64275	21539
749	64385	21461
750	64487	21381
751	64583	21298
752	64676	21215
753	64766	21130
754	64868	21050
755	64967	20968
756	65059	20884
757	65145	20798
758	65241	20715
759	65331	20631
760	65446	20554
761	65582	20483
762	65704	20408
763	65765	20315
764	65828	20221
765	65896	20130
766	65968	20040
767	66032	19947
768	66094	19854
769	66156	19761
770	66221	19668
771	66284	19576
772	66693	19585
773	67014	19567
774	67106	19482
775	67169	19389
776	67231	19295
777	67296	19202
778	67362	19110
779	67430	19018
780	67500	18927
781	67560	18833
782	67624	18741
783	67686	18648
784	67746	18554
785	67810	18462
786	67873	18369
787	67933	18276
788	67994	18183
789	68061	18092
790	68126	18000
791	68187	17907
792	68249	17815
793	68313	17723
794	68376	17631
795	68441	17540
796	68505	17448
797	68573	17358
798	68636	17266
799	68698	17174
800	68761	17082
801	68824	16991
802	68889	16900
803	68958	16810
804	69021	16719
805	69090	16629
806	69153	16538
807	69215	16447
808	69276	16355
809	69341	16265
810	69404	16174
811	69470	16084
812	69534	15993
813	69603	15904
814	69667	15814
815	69726	15722
816	69785	15631
817	69848	15540
818	69910	15450
819	69974	15360
820	70038	15270
821	70101	15180
822	70171	15091
823	70235	15001
824	70299	14912
825	70360	14821
826	70425	14732
827	70489	14642
828	70552	14552
829	70613	14463
830	70685	14375
831	70747	14285
832	70810	14196
833	70871	14106
834	70940	14018
835	71007	13929
836	71091	13844
837	71162	13756
838	71231	13669
839	71291	13579
840	71356	13490
841	71419	13401
842	71485	13313
843	71545	13224
844	71606	13134
845	71668	13046
846	71736	12958
847	71795	12868
848	71853	12779
849	71920	12691
850	71989	12604
851	72053	12516
852	72116	12428
853	72181	12340
854	72247	12252
855	72312	12164
856	72374	12076
857	72438	11988
858	72504	11901
859	72566	11813
